iter=0,err=0.479129
iter=10,err=0.449797
iter=20,err=0.404354
iter=30,err=0.360480
iter=40,err=0.314596
iter=50,err=0.267922
iter=60,err=0.224820
iter=70,err=0.183580
iter=80,err=0.145897
iter=90,err=0.104723
iter=100,err=0.067746
iter=110,err=0.042270
iter=120,err=0.021594
iter=130,err=0.014609
iter=140,err=0.011868
iter=150,err=0.011710
iter=160,err=0.011340
iter=170,err=0.007873
iter=180,err=0.008026
iter=190,err=0.008062
iter=200,err=0.007768
iter=210,err=0.006678
iter=220,err=0.005456
iter=230,err=0.006940
iter=240,err=0.005368
iter=250,err=0.005002
iter=260,err=0.003896
iter=270,err=0.004691
iter=280,err=0.004761
iter=290,err=0.004175
iter=300,err=0.004074
iter=310,err=0.004727
iter=320,err=0.004385
iter=330,err=0.004079
iter=340,err=0.004322
iter=350,err=0.003039
iter=360,err=0.003220
iter=370,err=0.003271
iter=380,err=0.005180
iter=390,err=0.003699
iter=400,err=0.002899
iter=410,err=0.003689
iter=420,err=0.002917
iter=430,err=0.002662
iter=440,err=0.002568
iter=450,err=0.002024
iter=460,err=0.001931
iter=470,err=0.001601
iter=480,err=0.001596
iter=490,err=0.001840
iter=500,err=0.002339
iter=510,err=0.002469
iter=520,err=0.002471
iter=530,err=0.002657
iter=540,err=0.003354
iter=550,err=0.003351
iter=560,err=0.003950
iter=570,err=0.003134
iter=580,err=0.003227
iter=590,err=0.002716
iter=600,err=0.002625
iter=610,err=0.002634
iter=620,err=0.002453
iter=630,err=0.002547
iter=640,err=0.001927
iter=650,err=0.001744
iter=660,err=0.001793
iter=670,err=0.001540
iter=680,err=0.001464
iter=690,err=0.001523
iter=700,err=0.001317
iter=710,err=0.001416
iter=720,err=0.001518
iter=730,err=0.001486
iter=740,err=0.001370
iter=750,err=0.001292
iter=760,err=0.000949
iter=770,err=0.000742
iter=780,err=0.000840
iter=790,err=0.000753
iter=800,err=0.000872
iter=810,err=0.000945
iter=820,err=0.001344
iter=830,err=0.001315
iter=840,err=0.001453
iter=850,err=0.001302
iter=860,err=0.001186
iter=870,err=0.001278
iter=880,err=0.001499
iter=890,err=0.001460
iter=900,err=0.001300
iter=910,err=0.001408
iter=920,err=0.001496
iter=930,err=0.001258
iter=940,err=0.001114
iter=950,err=0.000896
iter=960,err=0.000912
iter=970,err=0.000955
iter=980,err=0.000999
iter=990,err=0.000890
iter=1000,err=0.000931
iter=1010,err=0.001106
iter=1020,err=0.001293
iter=1030,err=0.001207
iter=1040,err=0.000808
iter=1050,err=0.000781
iter=1060,err=0.000775
iter=1070,err=0.000688
iter=1080,err=0.000543
iter=1090,err=0.000703
iter=1100,err=0.000585
iter=1110,err=0.000593
iter=1120,err=0.000528
iter=1130,err=0.000417
iter=1140,err=0.000449
iter=1150,err=0.000392
iter=1160,err=0.000405
iter=1170,err=0.000325
iter=1180,err=0.000527
iter=1190,err=0.000800
iter=1200,err=0.001497
iter=1210,err=0.001753
iter=1220,err=0.001515
iter=1230,err=0.001044
iter=1240,err=0.000941
iter=1250,err=0.000660
iter=1260,err=0.000694
iter=1270,err=0.000559
iter=1280,err=0.000648
iter=1290,err=0.000678
iter=1300,err=0.000507
iter=1310,err=0.000409
iter=1320,err=0.000367
iter=1330,err=0.000366
iter=1340,err=0.000596
iter=1350,err=0.001212
iter=1360,err=0.001057
iter=1370,err=0.000593
iter=1380,err=0.000470
iter=1390,err=0.000319
iter=1400,err=0.000209
iter=1410,err=0.000215
iter=1420,err=0.000204
iter=1430,err=0.000200
iter=1440,err=0.000195
iter=1450,err=0.000194
iter=1460,err=0.000132
iter=1470,err=0.000101
iter=1480,err=0.000107
iter=1490,err=0.000076
iter=1500,err=0.000059
iter=1510,err=0.000038
iter=1520,err=0.000029
iter=1530,err=0.000018
iter=1540,err=0.000015
iter=1550,err=0.000009
iter=1560,err=0.000009
iter=1570,err=0.000009
iter=1580,err=0.000011
iter=1590,err=0.000023
iter=1600,err=0.000023
iter=1610,err=0.000017
iter=1620,err=0.000012
iter=1630,err=0.000007
iter=1640,err=0.000005
iter=1650,err=0.000003
iter=1660,err=0.000003
iter=1670,err=0.000002
iter=1680,err=0.000002
iter=1690,err=0.000002
iter=1700,err=0.000003
iter=1710,err=0.000003
iter=1720,err=0.000003
iter=1730,err=0.000002
iter=1740,err=0.000002
iter=1750,err=0.000002
iter=1760,err=0.000001
iter=1770,err=0.000001
iter=1780,err=0.000001
iter=1790,err=0.000001
iter=1800,err=0.000000
iter=1810,err=0.000000
iter=1820,err=0.000000
iter=1830,err=0.000000
iter=1840,err=0.000000
iter=1850,err=0.000000
iter=1860,err=0.000000
iter=1870,err=0.000000
iter=1880,err=0.000000
iter=1890,err=0.000000
iter=1900,err=0.000000
iter=1910,err=0.000000
iter=1920,err=0.000000
iter=1930,err=0.000000
iter=1940,err=0.000000
iter=1950,err=0.000000
iter=1960,err=0.000000
iter=1970,err=0.000000
iter=1980,err=0.000000
iter=1990,err=0.000000
iter=2000,err=0.000000
