iter=0,err=0.520059
iter=10,err=0.487812
iter=20,err=0.436673
iter=30,err=0.394242
iter=40,err=0.363680
iter=50,err=0.336356
iter=60,err=0.302471
iter=70,err=0.259796
iter=80,err=0.214777
iter=90,err=0.169291
iter=100,err=0.124465
iter=110,err=0.084966
iter=120,err=0.047449
iter=130,err=0.021488
iter=140,err=0.018201
iter=150,err=0.016554
iter=160,err=0.013808
iter=170,err=0.013723
iter=180,err=0.012694
iter=190,err=0.012458
iter=200,err=0.011793
iter=210,err=0.011001
iter=220,err=0.010519
iter=230,err=0.009000
iter=240,err=0.008184
iter=250,err=0.008207
iter=260,err=0.008256
iter=270,err=0.006464
iter=280,err=0.005668
iter=290,err=0.006051
iter=300,err=0.004889
iter=310,err=0.003451
iter=320,err=0.003658
iter=330,err=0.003359
iter=340,err=0.003451
iter=350,err=0.002562
iter=360,err=0.002110
iter=370,err=0.002137
iter=380,err=0.001540
iter=390,err=0.001566
iter=400,err=0.001490
iter=410,err=0.001519
iter=420,err=0.001695
iter=430,err=0.001352
iter=440,err=0.001096
iter=450,err=0.001078
iter=460,err=0.001171
iter=470,err=0.001018
iter=480,err=0.001005
iter=490,err=0.000806
iter=500,err=0.000806
iter=510,err=0.000713
iter=520,err=0.000653
iter=530,err=0.000602
iter=540,err=0.000716
iter=550,err=0.000745
iter=560,err=0.000687
iter=570,err=0.000556
iter=580,err=0.000576
iter=590,err=0.000608
iter=600,err=0.000603
iter=610,err=0.000647
iter=620,err=0.000604
iter=630,err=0.000773
iter=640,err=0.000883
iter=650,err=0.001098
iter=660,err=0.001053
iter=670,err=0.001270
iter=680,err=0.001093
iter=690,err=0.000694
iter=700,err=0.000606
iter=710,err=0.000822
iter=720,err=0.000763
iter=730,err=0.000899
iter=740,err=0.000896
iter=750,err=0.000823
iter=760,err=0.001178
iter=770,err=0.001141
iter=780,err=0.001136
iter=790,err=0.001028
iter=800,err=0.001024
iter=810,err=0.001274
iter=820,err=0.007624
iter=830,err=0.007248
iter=840,err=0.004887
iter=850,err=0.004193
iter=860,err=0.003269
iter=870,err=0.003168
iter=880,err=0.003575
iter=890,err=0.001690
iter=900,err=0.001760
iter=910,err=0.001792
iter=920,err=0.001721
iter=930,err=0.001306
iter=940,err=0.001347
iter=950,err=0.001592
iter=960,err=0.001498
iter=970,err=0.001493
iter=980,err=0.001500
iter=990,err=0.001368
iter=1000,err=0.001122
