iter=0,loss=0.272971,psnr=11.277677
iter=10,loss=0.272111,psnr=11.305083
iter=20,loss=0.270575,psnr=11.354240
iter=30,loss=0.263241,psnr=11.592937
iter=40,loss=0.255303,psnr=11.858880
iter=50,loss=0.248235,psnr=12.102750
iter=60,loss=0.240787,psnr=12.367348
iter=70,loss=0.236600,psnr=12.519710
iter=80,loss=0.234159,psnr=12.609779
iter=90,loss=0.232254,psnr=12.680721
iter=100,loss=0.228892,psnr=12.807369
iter=110,loss=0.220843,psnr=13.118331
iter=120,loss=0.214593,psnr=13.367679
iter=130,loss=0.211374,psnr=13.498989
iter=140,loss=0.205868,psnr=13.728236
iter=150,loss=0.198745,psnr=14.034087
iter=160,loss=0.195236,psnr=14.188797
iter=170,loss=0.192099,psnr=14.329479
iter=180,loss=0.185976,psnr=14.610854
iter=190,loss=0.180363,psnr=14.877053
iter=200,loss=0.175379,psnr=15.120433
iter=210,loss=0.172582,psnr=15.260067
iter=220,loss=0.170981,psnr=15.341024
iter=230,loss=0.169749,psnr=15.403849
iter=240,loss=0.167130,psnr=15.538934
iter=250,loss=0.159297,psnr=15.955830
iter=260,loss=0.152442,psnr=16.337887
iter=270,loss=0.148886,psnr=16.542935
iter=280,loss=0.147463,psnr=16.626326
iter=290,loss=0.145849,psnr=16.721942
iter=300,loss=0.143968,psnr=16.834693
iter=310,loss=0.142038,psnr=16.951919
iter=320,loss=0.138826,psnr=17.150614
iter=330,loss=0.135376,psnr=17.369146
iter=340,loss=0.133697,psnr=17.477575
iter=350,loss=0.132892,psnr=17.530021
iter=360,loss=0.132384,psnr=17.563261
iter=370,loss=0.131951,psnr=17.591774
iter=380,loss=0.131043,psnr=17.651719
iter=390,loss=0.129742,psnr=17.738378
iter=400,loss=0.126677,psnr=17.946075
iter=410,loss=0.119630,psnr=18.443200
iter=420,loss=0.115599,psnr=18.740897
iter=430,loss=0.112075,psnr=19.009828
iter=440,loss=0.108329,psnr=19.305126
iter=450,loss=0.106769,psnr=19.431100
iter=460,loss=0.105982,psnr=19.495341
iter=470,loss=0.103992,psnr=19.660025
iter=480,loss=0.099910,psnr=20.007788
iter=490,loss=0.097723,psnr=20.200055
iter=500,loss=0.096680,psnr=20.293286
iter=510,loss=0.096010,psnr=20.353714
iter=520,loss=0.093852,psnr=20.551151
iter=530,loss=0.090701,psnr=20.847716
iter=540,loss=0.088898,psnr=21.022179
iter=550,loss=0.088443,psnr=21.066757
iter=560,loss=0.088386,psnr=21.072318
iter=570,loss=0.088507,psnr=21.060421
iter=580,loss=0.088712,psnr=21.040397
iter=590,loss=0.088946,psnr=21.017424
iter=600,loss=0.089200,psnr=20.992709
iter=610,loss=0.088580,psnr=21.053275
iter=620,loss=0.087303,psnr=21.179452
iter=630,loss=0.085947,psnr=21.315344
iter=640,loss=0.085041,psnr=21.407422
iter=650,loss=0.084811,psnr=21.431003
iter=660,loss=0.084652,psnr=21.447242
iter=670,loss=0.084382,psnr=21.474975
iter=680,loss=0.084423,psnr=21.470816
iter=690,loss=0.084470,psnr=21.465913
iter=700,loss=0.084620,psnr=21.450579
iter=710,loss=0.084663,psnr=21.446140
iter=720,loss=0.084801,psnr=21.432017
iter=730,loss=0.084575,psnr=21.455150
iter=740,loss=0.083310,psnr=21.586095
iter=750,loss=0.082713,psnr=21.648478
iter=760,loss=0.082759,psnr=21.643732
iter=770,loss=0.082947,psnr=21.623942
iter=780,loss=0.082554,psnr=21.665215
iter=790,loss=0.081004,psnr=21.829909
iter=800,loss=0.079078,psnr=22.038835
iter=810,loss=0.078421,psnr=22.111392
iter=820,loss=0.078370,psnr=22.116997
iter=830,loss=0.078331,psnr=22.121319
iter=840,loss=0.078531,psnr=22.099193
iter=850,loss=0.077773,psnr=22.183419
iter=860,loss=0.077127,psnr=22.255818
iter=870,loss=0.076771,psnr=22.296008
iter=880,loss=0.076546,psnr=22.321534
iter=890,loss=0.076550,psnr=22.321106
iter=900,loss=0.076686,psnr=22.305675
iter=910,loss=0.076867,psnr=22.285168
iter=920,loss=0.076450,psnr=22.332483
iter=930,loss=0.076254,psnr=22.354754
iter=940,loss=0.075947,psnr=22.389791
iter=950,loss=0.075887,psnr=22.396697
iter=960,loss=0.075331,psnr=22.460479
iter=970,loss=0.074471,psnr=22.560247
iter=980,loss=0.074412,psnr=22.567177
iter=990,loss=0.074440,psnr=22.563929
iter=1000,loss=0.074624,psnr=22.542474
iter=1010,loss=0.074879,psnr=22.512850
iter=1020,loss=0.074284,psnr=22.582133
iter=1030,loss=0.073950,psnr=22.621286
iter=1040,loss=0.073864,psnr=22.631393
iter=1050,loss=0.074007,psnr=22.614561
iter=1060,loss=0.074220,psnr=22.589558
iter=1070,loss=0.074432,psnr=22.564848
iter=1080,loss=0.074780,psnr=22.524309
iter=1090,loss=0.072755,psnr=22.762759
iter=1100,loss=0.070587,psnr=23.025558
iter=1110,loss=0.069663,psnr=23.140015
iter=1120,loss=0.069500,psnr=23.160311
iter=1130,loss=0.069409,psnr=23.171709
iter=1140,loss=0.069614,psnr=23.146048
iter=1150,loss=0.069993,psnr=23.098892
iter=1160,loss=0.069803,psnr=23.122562
iter=1170,loss=0.067243,psnr=23.447121
iter=1180,loss=0.066339,psnr=23.564666
iter=1190,loss=0.066361,psnr=23.561785
iter=1200,loss=0.066202,psnr=23.582589
iter=1210,loss=0.065902,psnr=23.622032
iter=1220,loss=0.066185,psnr=23.584756
iter=1230,loss=0.066537,psnr=23.538749
iter=1240,loss=0.065961,psnr=23.614198
iter=1250,loss=0.065071,psnr=23.732291
iter=1260,loss=0.065315,psnr=23.699793
iter=1270,loss=0.065735,psnr=23.644016
iter=1280,loss=0.065965,psnr=23.613669
iter=1290,loss=0.065054,psnr=23.734501
iter=1300,loss=0.064398,psnr=23.822616
iter=1310,loss=0.064353,psnr=23.828655
iter=1320,loss=0.063865,psnr=23.894702
iter=1330,loss=0.063902,psnr=23.889726
iter=1340,loss=0.064292,psnr=23.836817
iter=1350,loss=0.064737,psnr=23.776891
iter=1360,loss=0.065184,psnr=23.717177
iter=1370,loss=0.065640,psnr=23.656634
iter=1380,loss=0.066024,psnr=23.605987
iter=1390,loss=0.066308,psnr=23.568699
iter=1400,loss=0.066350,psnr=23.563129
iter=1410,loss=0.066536,psnr=23.538867
iter=1420,loss=0.066794,psnr=23.505266
iter=1430,loss=0.067137,psnr=23.460707
iter=1440,loss=0.067499,psnr=23.414093
iter=1450,loss=0.067092,psnr=23.466587
iter=1460,loss=0.065195,psnr=23.715779
iter=1470,loss=0.063272,psnr=23.975824
iter=1480,loss=0.062188,psnr=24.125826
iter=1490,loss=0.061958,psnr=24.158009
iter=1500,loss=0.062236,psnr=24.119235
iter=1510,loss=0.062645,psnr=24.062206
iter=1520,loss=0.063076,psnr=24.002726
iter=1530,loss=0.063506,psnr=23.943748
iter=1540,loss=0.063926,psnr=23.886388
iter=1550,loss=0.063612,psnr=23.929208
iter=1560,loss=0.062563,psnr=24.073712
iter=1570,loss=0.062438,psnr=24.091082
iter=1580,loss=0.061144,psnr=24.272881
iter=1590,loss=0.059499,psnr=24.509803
iter=1600,loss=0.059203,psnr=24.553073
iter=1610,loss=0.059340,psnr=24.533048
iter=1620,loss=0.059524,psnr=24.506086
iter=1630,loss=0.059976,psnr=24.440476
iter=1640,loss=0.059979,psnr=24.440045
iter=1650,loss=0.060054,psnr=24.429156
iter=1660,loss=0.059595,psnr=24.495814
iter=1670,loss=0.059290,psnr=24.540435
iter=1680,loss=0.059214,psnr=24.551444
iter=1690,loss=0.059609,psnr=24.493829
iter=1700,loss=0.059988,psnr=24.438666
iter=1710,loss=0.060450,psnr=24.372104
iter=1720,loss=0.061043,psnr=24.287278
iter=1730,loss=0.061602,psnr=24.208056
iter=1740,loss=0.062166,psnr=24.128918
iter=1750,loss=0.062755,psnr=24.047011
iter=1760,loss=0.062449,psnr=24.089529
iter=1770,loss=0.060662,psnr=24.341646
iter=1780,loss=0.059596,psnr=24.495711
iter=1790,loss=0.059160,psnr=24.559431
iter=1800,loss=0.059117,psnr=24.565787
iter=1810,loss=0.058888,psnr=24.599504
iter=1820,loss=0.058979,psnr=24.586004
iter=1830,loss=0.059198,psnr=24.553830
iter=1840,loss=0.059447,psnr=24.517420
iter=1850,loss=0.059639,psnr=24.489415
iter=1860,loss=0.059809,psnr=24.464622
iter=1870,loss=0.058904,psnr=24.597053
iter=1880,loss=0.057880,psnr=24.749480
iter=1890,loss=0.056412,psnr=24.972558
iter=1900,loss=0.055632,psnr=25.093502
iter=1910,loss=0.055091,psnr=25.178396
iter=1920,loss=0.054600,psnr=25.256197
iter=1930,loss=0.054278,psnr=25.307556
iter=1940,loss=0.054662,psnr=25.246299
iter=1950,loss=0.054827,psnr=25.220085
iter=1960,loss=0.054116,psnr=25.333549
iter=1970,loss=0.054235,psnr=25.314364
iter=1980,loss=0.053606,psnr=25.415793
iter=1990,loss=0.052771,psnr=25.552124
iter=2000,loss=0.052890,psnr=25.532448
iter=2010,loss=0.052509,psnr=25.595279
iter=2020,loss=0.051539,psnr=25.757258
iter=2030,loss=0.051473,psnr=25.768464
iter=2040,loss=0.051406,psnr=25.779642
