iter=0,loss=0.272971,psnr=11.277677
iter=10,loss=0.268007,psnr=11.437065
iter=20,loss=0.259872,psnr=11.704811
iter=30,loss=0.250502,psnr=12.023779
iter=40,loss=0.242536,psnr=12.304487
iter=50,loss=0.234915,psnr=12.581767
iter=60,loss=0.228222,psnr=12.832843
iter=70,loss=0.223826,psnr=13.001779
iter=80,loss=0.220522,psnr=13.130955
iter=90,loss=0.216512,psnr=13.290372
iter=100,loss=0.213923,psnr=13.394856
iter=110,loss=0.210639,psnr=13.529212
iter=120,loss=0.205899,psnr=13.726902
iter=130,loss=0.199593,psnr=13.997077
iter=140,loss=0.190742,psnr=14.391063
iter=150,loss=0.185511,psnr=14.632624
iter=160,loss=0.182703,psnr=14.765092
iter=170,loss=0.177365,psnr=15.022659
iter=180,loss=0.171578,psnr=15.310777
iter=190,loss=0.164943,psnr=15.653314
iter=200,loss=0.159948,psnr=15.920406
iter=210,loss=0.157196,psnr=16.071154
iter=220,loss=0.155439,psnr=16.168778
iter=230,loss=0.154569,psnr=16.217573
iter=240,loss=0.153940,psnr=16.252977
iter=250,loss=0.153105,psnr=16.300197
iter=260,loss=0.151326,psnr=16.401708
iter=270,loss=0.142084,psnr=16.949110
iter=280,loss=0.134231,psnr=17.442913
iter=290,loss=0.130089,psnr=17.715198
iter=300,loss=0.128033,psnr=17.853575
iter=310,loss=0.127004,psnr=17.923650
iter=320,loss=0.126253,psnr=17.975144
iter=330,loss=0.125648,psnr=18.016909
iter=340,loss=0.124507,psnr=18.096115
iter=350,loss=0.120835,psnr=18.356144
iter=360,loss=0.118667,psnr=18.513391
iter=370,loss=0.117133,psnr=18.626428
iter=380,loss=0.115815,psnr=18.724720
iter=390,loss=0.110909,psnr=19.100654
iter=400,loss=0.105660,psnr=19.521764
iter=410,loss=0.103016,psnr=19.741942
iter=420,loss=0.101832,psnr=19.842356
iter=430,loss=0.100892,psnr=19.922903
iter=440,loss=0.099652,psnr=20.030285
iter=450,loss=0.096263,psnr=20.330771
iter=460,loss=0.093332,psnr=20.599394
iter=470,loss=0.090591,psnr=20.858255
iter=480,loss=0.087475,psnr=21.162310
iter=490,loss=0.084784,psnr=21.433749
iter=500,loss=0.083616,psnr=21.554213
